score_id,student_id,subject_id,semester,grade,grade_point
1,1,1,1/I,A,4.0
2,2,1,1/I,D,1.0
3,3,1,1/I,C+,2.5
4,4,1,1/I,B+,3.5
5,5,1,1/I,B+,3.5
6,6,1,1/I,D,1.0
7,7,1,1/I,A,4.0
8,8,1,1/I,C+,2.5
9,9,1,1/I,C,2.0
10,10,1,1/I,A,4.0
11,11,1,1/I,C+,2.5
12,12,1,1/I,B,3.0
13,13,1,1/I,C,2.0
14,14,1,1/I,C+,2.5
15,15,1,1/I,B,3.0
16,16,1,1/I,B+,3.5
17,17,1,1/I,D+,1.5
18,18,1,1/I,B,3.0
19,19,1,1/I,C,2.0
20,20,1,1/I,B,3.0
21,21,1,1/I,C+,2.5
22,22,1,1/I,C+,2.5
23,23,1,1/I,B+,3.5
24,24,1,1/I,C+,2.5
25,25,1,1/I,A,4.0
26,26,1,1/I,D+,1.5
27,27,1,1/I,C+,2.5
28,28,1,1/I,C,2.0
29,29,1,1/I,C,2.0
30,30,1,1/I,D,1.0
31,31,1,1/I,D+,1.5
32,32,1,1/I,D,1.0
33,33,1,1/I,B,3.0
34,34,1,1/I,C,2.0
35,35,1,1/I,C,2.0
36,36,1,1/I,C+,2.5
37,1,2,1/I,A,4.0
38,2,2,1/I,F,0.0
39,3,2,1/I,B+,3.5
40,4,2,1/I,B+,3.5
41,5,2,1/I,A,4.0
42,6,2,1/I,F,0.0
43,7,2,1/I,A,4.0
44,8,2,1/I,A,4.0
45,9,2,1/I,C+,2.5
46,10,2,1/I,A,4.0
47,11,2,1/I,C,2.0
48,12,2,1/I,A,4.0
49,13,2,1/I,C,2.0
50,14,2,1/I,C,2.0
51,15,2,1/I,A,4.0
52,16,2,1/I,C,2.0
53,17,2,1/I,C,2.0
54,18,2,1/I,C,2.0
55,19,2,1/I,C,2.0
56,20,2,1/I,B,3.0
57,21,2,1/I,C+,2.5
58,22,2,1/I,C,2.0
59,23,2,1/I,B+,3.5
60,24,2,1/I,C,2.0
61,25,2,1/I,C,2.0
62,26,2,1/I,B+,3.5
63,27,2,1/I,C,2.0
64,28,2,1/I,C+,2.5
